system:index,Block,BlockID,FragSize,Hunted,PointID,Site,SiteID,SizeClass,Year,blue,date,evi,green,image,mask,ndvi,nir,path,red,row,satellite,sr,swir1,swir2,tcg,.geo
00000000000000000063_2_LC08_012031_20170614,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.029999999329447746,2017-06-14,0.4925953350610885,0.06360000371932983,2_LC08_012031_20170614,1.0,0.7506346702575684,0.31029999256134033,12.0,0.044199999421834946,31.0,LANDSAT_8,7.02036190032959,0.19869999587535858,0.09849999845027924,0.18754924022408964,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170621,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.03280000016093254,2017-06-21,0.37714698282413744,0.05770000070333481,2_LC08_013031_20170621,1.0,0.6566324830055237,0.25040000677108765,13.0,0.051899999380111694,31.0,LANDSAT_8,4.824662685394287,0.22840000689029694,0.1185000017285347,0.1345058897500539,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170622,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.03519999980926514,2017-06-22,0.3296184359652437,0.06109999865293503,1_2_LE07_012031_20170622,1.0,0.596581220626831,0.23350000381469727,12.0,0.05900000035762787,31.0,LANDSAT_7,3.957627058029175,0.2305999994277954,0.1177000030875206,0.11635620955354452,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170708,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-07-08,99.0,99.0,1_2_LE07_012031_20170708,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170715,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-07-15,99.0,99.0,1_2_LE07_013031_20170715,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20170716,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.03180000185966492,2017-07-16,0.41261574074074076,0.061799999326467514,2_LC08_012031_20170716,1.0,0.7001636624336243,0.2597000002861023,12.0,0.04580000042915344,31.0,LANDSAT_8,5.6703057289123535,0.20649999380111694,0.09860000014305115,0.14678625997931477,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170723,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.026499999687075615,2017-07-23,0.469865262032902,0.05530000105500221,2_LC08_013031_20170723,1.0,0.7665006518363953,0.28369998931884766,13.0,0.03750000149011612,31.0,LANDSAT_8,7.565333366394043,0.1808999925851822,0.08169999718666077,0.17506828040680886,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170731,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.026799999177455902,2017-07-31,0.4517489552700821,0.050599999725818634,1_2_LE07_013031_20170731,1.0,0.7588560581207275,0.27059999108314514,13.0,0.03709999844431877,31.0,LANDSAT_7,7.293800354003906,0.17749999463558197,0.07909999787807465,0.1665177203068304,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20170801,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.027300000190734863,2017-08-01,0.48848690554248475,0.05400000140070915,2_LC08_012031_20170801,1.0,0.7815489172935486,0.28870001435279846,12.0,0.03539999946951866,31.0,LANDSAT_8,8.155366897583008,0.1835000067949295,0.07819999754428864,0.18081823035509587,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170809,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.030899999663233757,2017-08-09,0.4879624192601292,0.04910000041127205,1_2_LE07_012031_20170809,1.0,0.7706336975097656,0.2863999903202057,12.0,0.03709999844431877,31.0,LANDSAT_7,7.719676494598389,0.17560000717639923,0.08089999854564667,0.17856864021029953,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170816,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.03449999913573265,2017-08-16,0.5253068969523292,0.05429999902844429,1_2_LE07_013031_20170816,1.0,0.7731547355651855,0.3111000061035156,13.0,0.039799999445676804,31.0,LANDSAT_7,7.816582679748535,0.18979999423027039,0.07999999821186066,0.19493260025856493,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20170817,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.026799999177455902,2017-08-17,0.4985331583416968,0.04960000142455101,2_LC08_012031_20170817,1.0,0.7916027903556824,0.2922999858856201,12.0,0.03400000184774399,31.0,LANDSAT_8,8.59705924987793,0.17550000548362732,0.08089999854564667,0.18529908021029953,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170824,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.02419999986886978,2017-08-24,0.45853677744526694,0.04430000111460686,2_LC08_013031_20170824,1.0,0.7886894941329956,0.26409998536109924,13.0,0.031199999153614044,31.0,LANDSAT_8,8.464743614196777,0.16339999437332153,0.07109999656677246,0.16762015049644471,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170825,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-08-25,99.0,99.0,1_2_LE07_012031_20170825,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170901,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.02850000001490116,2017-09-01,0.46016182390689153,0.04910000041127205,1_2_LE07_013031_20170901,1.0,0.7730163931846619,0.2648000121116638,13.0,0.033900000154972076,31.0,LANDSAT_7,7.811209201812744,0.16269999742507935,0.0681999996304512,0.16522084005343676,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20170902,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-09-02,99.0,99.0,2_LC08_012031_20170902,0.0,99.0,99.0,12.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170909,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-09-09,99.0,99.0,2_LC08_013031_20170909,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170910,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.031199999153614044,2017-09-10,0.4427936359382312,0.047200001776218414,1_2_LE07_012031_20170910,1.0,0.7332902550697327,0.26840001344680786,12.0,0.04129999876022339,31.0,LANDSAT_7,6.498789310455322,0.16920000314712524,0.06849999725818634,0.16448620039646628,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20170917,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.033799998462200165,2017-09-17,0.4556094298612272,0.04969999939203262,1_2_LE07_013031_20170917,1.0,0.7670654654502869,0.25110000371932983,13.0,0.03310000151395798,31.0,LANDSAT_7,7.586102485656738,0.1597999930381775,0.06360000371932983,0.15438476946218493,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20170925,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.020500000566244125,2017-09-25,0.4199345761242265,0.040300000458955765,2_LC08_013031_20170925,1.0,0.780872106552124,0.24300000071525574,13.0,0.029899999499320984,31.0,LANDSAT_8,8.127090454101562,0.15610000491142273,0.06549999862909317,0.15404010019823314,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20170926,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.028200000524520874,2017-09-26,0.4207881617472501,0.04659999907016754,1_2_LE07_012031_20170926,1.0,0.7393117547035217,0.2502000033855438,12.0,0.03750000149011612,31.0,LANDSAT_7,6.671999931335449,0.1632000058889389,0.07090000063180923,0.1522145199086404,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20171003,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-10-03,99.0,99.0,1_2_LE07_013031_20171003,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_7,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_012031_20171004,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.02370000071823597,2017-10-04,0.4233830242798853,0.04089999943971634,2_LC08_012031_20171004,1.0,0.7809240221977234,0.23899999260902405,12.0,0.029400000348687172,31.0,LANDSAT_8,8.129251480102539,0.15790000557899475,0.07000000029802322,0.14977763995690582,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_2_LC08_013031_20171011,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,99.0,2017-10-11,99.0,99.0,2_LC08_013031_20171011,0.0,99.0,99.0,13.0,99.0,31.0,LANDSAT_8,99.0,99.0,99.0,99.0,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_012031_20171012,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.026799999177455902,2017-10-12,0.3870967741935484,0.041999999433755875,1_2_LE07_012031_20171012,1.0,0.7377431988716125,0.2232999950647354,12.0,0.03370000049471855,31.0,LANDSAT_7,6.626112937927246,0.15320000052452087,0.06700000166893005,0.13481793975867273,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
00000000000000000063_1_2_LE07_013031_20171019,Beaver_Brook,BB,28.6323,false,BB_BBS_5,Beaver_Brook_small,BBS,small,2017,0.027799999341368675,2017-10-19,0.3568222621184919,0.041200000792741776,1_2_LE07_013031_20171019,1.0,0.7026918530464172,0.211899995803833,13.0,0.03700000047683716,31.0,LANDSAT_7,5.72702693939209,0.14869999885559082,0.07199999690055847,0.12348124044817928,"{""type"":""Point"",""coordinates"":[-72.12342231098766,41.76687009596621]}"
